client_number,num_xacts,total_elapsed_time,xact_throughput,avg_xact_latency,median_xact_latency,95_pct_xact_latency,99_pct_xact_latency
39,20000,4998.401247739792,4.001279410900381,249.9200623869896,85.6633186340332,1360.472393035887,3120.4937553405734
7,20000,5484.331689119339,3.646752445640565,274.21658445596694,92.41271018981934,1701.369035243988,3190.267314910888
32,20000,5512.134748697281,3.6283583242820274,275.60673743486404,91.34304523468018,1744.6287631988507,3207.62964725494
19,20000,5527.340119361877,3.618376935036335,276.3670059680939,90.68119525909424,1726.7699956893894,3220.756182670592
23,20000,5533.011099815369,3.6146683314384425,276.65055499076846,93.18149089813232,1715.4599428176878,3181.026902198785
2,20000,5549.380746841431,3.6040057282758085,277.46903734207154,93.00041198730469,1724.0725755691528,3195.8106231689394
38,20000,5536.13765001297,3.612626936751319,276.8068825006485,92.90194511413574,1714.684212207791,3202.059574127191
34,20000,5542.186867952347,3.608683805962922,277.10934339761735,91.38333797454834,1701.8675804138181,3203.298199176775
29,20000,5544.371848583221,3.6072616603286973,277.2185924291611,92.7969217300415,1749.523651599883,3205.4483771324108
17,20000,5564.8522090911865,3.5939858326024194,278.2426104545593,92.32163429260254,1751.350498199462,3181.0528206825243
13,20000,5580.811342716217,3.583708312609949,279.0405671358109,92.42022037506104,1682.6442241668692,3228.366992473595
18,20000,5584.956006526947,3.581048799064251,279.2478003263474,92.41652488708496,1681.3452601432748,3208.180103302
22,20000,5586.532265663147,3.5800383939294957,279.32661328315737,92.49305725097656,1791.7191982269273,3183.0311775207515
24,20000,5593.512226104736,3.5755709814417966,279.6756113052368,90.25120735168457,1754.948127269744,3217.7129769325247
27,20000,5592.536654472351,3.5761947101421323,279.62683272361755,93.01114082336426,1718.6728715896584,3192.587771415703
33,20000,5596.300886631012,3.573789259219058,279.8150443315506,91.96329116821289,1760.790133476257,3223.937153816216
4,20000,5609.378007888794,3.5654576981392303,280.4689003944397,91.5517807006836,1744.3894028663633,3208.967072963711
9,20000,5608.986318826675,3.5657066826619985,280.4493159413338,91.74811840057373,1763.8979077339163,3249.1396570205675
28,20000,5606.614587545395,3.5672150613720186,280.33072937726973,92.47934818267822,1738.546824455259,3179.6181941032387
12,20000,5612.544548988342,3.5634461028206874,280.62722744941715,91.91179275512695,1701.9689321517924,3192.719719409931
14,20000,5615.7819674015045,3.561391826836586,280.78909837007524,91.70520305633545,1694.5294618606547,3202.5029444694483
3,20000,5627.898321151733,3.553724473811577,281.39491605758667,93.97876262664795,1755.0009369850115,3217.9069590568492
37,20000,5625.37664604187,3.555317493997919,281.26883230209353,92.73576736450195,1739.6211266517628,3242.58094549179
26,20000,5806.494280338287,3.4444191338865484,290.32471401691436,107.57231712341309,1539.1568422317496,3159.0335273742503
1,20000,5839.627939939499,3.4248757293614855,291.981396996975,108.5669994354248,1621.519351005554,3199.3879151344295
6,20000,5851.534773111343,3.417906716012852,292.57673865556717,107.4671745300293,1579.3349266052244,3218.55015993118
11,20000,5867.7585434913635,3.408456542947631,293.3879271745682,105.93652725219727,1654.5168161392207,3195.5451631545966
16,20000,5881.6314969062805,3.400417045936988,294.08157484531404,109.45188999176025,1636.535978317259,3206.2900185585
21,20000,5892.37292766571,3.3942182963499374,294.6186463832855,108.22522640228271,1637.953305244445,3183.046946525566
31,20000,5908.477494239807,3.384966773504352,295.4238747119904,106.48572444915771,1634.243297576904,3165.8301544189444
36,20000,5923.199315071106,3.3765536049262437,296.1599657535553,105.67712783813477,1649.1437554359406,3280.427975654593
25,20000,6175.732750892639,3.238482105157352,308.78663754463196,107.04612731933594,1362.591111660003,3155.808007717123
15,20000,6190.019624710083,3.2310075270458816,309.5009812355042,107.09476470947266,1384.2043280601476,3144.1490554809534
10,20000,6222.518066644669,3.2141328937570255,311.12590333223346,105.13079166412354,1407.5302243232697,3145.3027582168475
20,20000,6220.617440462112,3.2151149289312757,311.03087202310564,106.53400421142578,1464.993524551391,3138.4022712707506
5,20000,6234.495911836624,3.2079578337726726,311.7247955918312,105.7732105255127,1368.4202313423154,3106.3373756408505
0,20000,6264.079830408096,3.192807330282224,313.2039915204048,106.10151290893555,1400.0395655632014,3126.282930374144
35,20000,6249.63463973999,3.200187075389111,312.48173198699953,102.78594493865967,1411.2432360649104,3156.52597427367
30,20000,6253.459777832031,3.198229573795014,312.67298889160156,106.92083835601807,1408.9029073715192,3165.43294429779
