client_number,num_xacts,total_elapsed_time,xact_throughput,avg_xact_latency,median_xact_latency,95_pct_xact_latency,99_pct_xact_latency
27,20000,3248.105257511139,6.157435924759717,162.40526287555696,68.30918788909912,550.6440758705136,1179.0729689597842
22,20000,3284.417626142502,6.089359599342332,164.2208813071251,70.1603889465332,556.0272097587584,1149.8702144622782
25,20000,3477.2080433368683,5.751740980331794,173.86040216684341,78.80520820617676,591.706919670105,1314.2962813377308
39,20000,3530.19743847847,5.665405504520474,176.5098719239235,82.6953649520874,586.0361218452452,1222.2909498214426
24,20000,3554.345945596695,5.62691429200273,177.71729727983475,85.16192436218262,588.1125330924987,1226.158051490779
38,20000,3564.294768810272,5.6112081904706805,178.21473844051363,86.55393123626709,588.1114363670348,1296.5437936782823
23,20000,3576.511892557144,5.592040681206947,178.8255946278572,87.5178575515747,592.953312397003,1241.625349521629
37,20000,3685.0749051570892,5.427298091556006,184.25374525785446,75.95622539520264,629.274272918701,1480.1190710067638
12,20000,3799.4353330135345,5.263940098208471,189.97176665067673,86.64357662200928,607.6623797416684,1286.8741774558673
28,20000,3900.5017092227936,5.127545503366838,195.0250854611397,95.26121616363525,620.8002567291259,1335.1679348945531
10,20000,3950.8878087997437,5.062153360936837,197.54439043998718,99.39956665039062,626.3084292411803,1463.2175755500748
13,20000,3924.5455462932587,5.096131453714441,196.22727731466293,101.02355480194092,615.1999473571776,1452.1088266372678
14,20000,4052.0982201099396,4.9357145147032915,202.60491100549697,104.21276092529297,628.1215071678162,1295.070888996106
11,20000,4075.631468296051,4.907215030499714,203.78157341480255,93.55545043945312,669.1884636878959,1459.5881128310987
26,20000,4113.524798154831,4.8620103150882255,205.67623990774155,104.28941249847412,664.1070604324341,1423.5489487647737
17,20000,4449.740051031113,4.494644579376162,222.48700255155563,102.50651836395264,669.3862080574033,1586.467230319976
19,20000,4602.958291053772,4.3450317676941905,230.1479145526886,113.09611797332764,677.6311755180357,1592.761926650998
18,20000,4577.168185710907,4.369513897793048,228.85840928554535,114.46082592010498,670.3425168991088,1589.8317885398817
20,20000,4634.526340961456,4.3154356084317556,231.72631704807281,109.07995700836182,690.5458688735959,1617.4603581428482
15,20000,4752.69925737381,4.20813498118359,237.6349628686905,110.16488075256348,685.0882291793822,1764.0391325950466
30,20000,4797.071978569031,4.16920990332232,239.85359892845153,114.8308515548706,703.5169959068298,1582.7838969229847
32,20000,4811.370787382126,4.156819518555965,240.5685393691063,118.31653118133545,700.9524941444395,1696.6087627410745
29,20000,4815.723276615143,4.153062551812056,240.78616383075715,126.66118144989014,703.3653616905208,1653.482806682577
33,20000,4910.125947713852,4.073215272474217,245.5062973856926,126.94203853607178,710.7158660888672,1724.9913907051
34,20000,4919.221223115921,4.065684199364315,245.96106115579605,129.1903257369995,705.6493282318112,1811.5638995170175
21,20000,4945.9612510204315,4.043703333881493,247.2980625510216,120.18990516662598,730.1546216011045,1754.8512983322073
16,20000,4957.410091161728,4.0343646444858,247.8705045580864,130.29146194458008,728.2362818717957,1757.1208953857365
35,20000,5052.494316339493,3.9584408705460756,252.62471581697466,111.74452304840088,699.0619540214539,1831.1547207832248
36,20000,5375.654418230057,3.7204772561598247,268.78272091150285,141.82722568511963,746.1658000946045,1816.1538839339912
31,20000,5477.837202072144,3.651076010881529,273.8918601036072,135.72192192077637,732.5366616249083,1764.7123193740747
2,20000,5596.256543159485,3.5738175771171092,279.81282715797425,145.879864692688,816.1110281944274,2011.8003392219537
7,20000,5614.406272649765,3.5622644726351154,280.7203136324883,143.0203914642334,785.5362892150879,1914.2548298835454
9,20000,5616.494721412659,3.5609398730049207,280.8247360706329,153.19669246673584,799.4255661964415,1923.461871147154
3,20000,5624.964999914169,3.5555776792042577,281.2482499957085,153.6393165588379,810.6112718582145,2107.880699634552
5,20000,5695.470791816711,3.511562209876684,284.7735395908356,148.89264106750488,810.0510597229004,2043.4241604804993
4,20000,5700.480021715164,3.5084764658086436,285.02400108575824,149.23560619354248,806.6225886344903,1990.500774383489
8,20000,5703.501597881317,3.506617760470061,285.17507989406585,147.4311351776123,814.1715407371515,1961.7584538459569
0,20000,5740.599803209305,3.483956500297917,287.0299901604653,149.89256858825684,836.6505980491635,2034.9188470840377
1,20000,5799.794697999954,3.4483979246536007,289.9897348999977,146.8813419342041,830.1189541816707,2041.1348080634966
6,20000,5876.2234146595,3.4035465619135086,293.81117073297503,140.7259702682495,822.6924538612362,1984.8370552062947
